City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bobon,12.52,124.56,76.5,91,88,4.34,overcast clouds
1,Chokurdakh,70.63,147.92,-14.55,90,74,3.83,broken clouds
2,Marinette,45.1,-87.63,51.8,57,1,11.41,clear sky
3,Busselton,-33.65,115.33,60.01,84,9,7.78,clear sky
4,Port Alfred,-33.59,26.89,66.74,82,1,24.72,clear sky
5,Ilulissat,69.22,-51.1,24.8,79,90,20.8,light shower snow
6,Prince Rupert,54.32,-130.32,42.8,93,90,16.11,light rain
7,Toamasina,-18.17,49.38,75.2,78,40,6.93,scattered clouds
8,Jamestown,42.1,-79.24,48.0,52,1,4.7,clear sky
9,Latehar,23.75,84.5,68.49,65,38,1.34,scattered clouds
10,Luanda,-8.84,13.23,80.6,78,40,11.41,scattered clouds
11,Punta Arenas,-53.15,-70.92,59.0,47,0,16.11,clear sky
12,Atuona,-9.8,-139.03,78.1,70,0,12.1,clear sky
13,Gorontalo,0.54,123.06,76.33,87,100,1.81,overcast clouds
14,Ushuaia,-54.8,-68.3,60.8,41,40,19.46,scattered clouds
15,Luganville,-15.53,167.17,75.2,94,75,6.22,broken clouds
16,Tasiilaq,65.61,-37.64,23.0,57,20,3.36,few clouds
17,Tautira,-17.73,-149.15,82.4,74,75,14.99,broken clouds
18,Chara,56.91,118.26,9.64,74,65,0.72,broken clouds
19,Broome,42.25,-75.83,45.0,75,40,11.41,scattered clouds
20,Thompson,55.74,-97.86,-2.2,77,40,4.7,scattered clouds
21,Katherine,-14.47,132.27,82.4,65,0,8.05,clear sky
22,Georgetown,5.41,100.34,78.8,88,20,3.36,few clouds
23,Flin Flon,54.77,-101.86,-0.4,84,20,8.05,few clouds
24,Vaini,-21.2,-175.2,77.0,88,75,9.17,broken clouds
25,Laguna,38.42,-121.42,62.01,43,1,3.36,clear sky
26,Port Elizabeth,-33.92,25.57,66.2,82,0,19.46,clear sky
27,West Bay,19.37,-81.42,86.0,74,20,6.93,few clouds
28,Rikitea,-23.12,-134.97,73.65,78,96,17.05,overcast clouds
29,Hagenow,53.43,11.18,46.0,96,99,4.0,overcast clouds
30,Satkhira,22.72,89.1,71.6,78,40,5.82,haze
31,Yatou,37.15,122.38,51.89,85,0,5.7,clear sky
32,Iqaluit,63.75,-68.51,14.0,72,90,10.29,light snow
33,Kodiak,57.79,-152.41,38.5,75,92,40.02,overcast clouds
34,Lebu,-37.62,-73.65,58.64,74,100,13.73,overcast clouds
35,Ukhta,63.57,53.68,19.51,94,13,7.27,few clouds
36,Albany,42.6,-73.97,48.99,63,100,1.01,overcast clouds
37,Bluff,-46.6,168.33,55.99,84,16,5.01,few clouds
38,Rudnogorsk,57.26,103.75,18.05,97,25,2.24,scattered clouds
39,Kawalu,-7.38,108.21,72.7,91,81,1.92,broken clouds
40,Puerto Ayora,-0.74,-90.35,75.2,69,75,10.29,broken clouds
41,Codrington,-38.27,141.97,54.79,85,100,10.0,overcast clouds
42,Tuatapere,-46.13,167.68,55.99,84,5,5.01,clear sky
43,Tuktoyaktuk,69.45,-133.04,1.4,84,75,17.22,mist
44,Aklavik,68.22,-135.01,6.8,84,75,10.29,broken clouds
45,Murgab,37.5,61.97,48.2,87,40,4.7,scattered clouds
46,Saskylakh,71.92,114.08,-12.78,89,60,1.43,broken clouds
47,Severo-Kurilsk,50.68,156.12,36.84,81,58,10.76,broken clouds
48,Yellowknife,62.46,-114.35,17.01,92,90,17.22,light snow
49,Saint-Pierre,-21.34,55.48,75.2,78,75,3.36,broken clouds
50,Felanitx,39.47,3.15,62.6,82,40,5.82,scattered clouds
51,Mataura,-46.19,168.86,55.99,84,36,5.01,scattered clouds
52,Qinhuangdao,39.93,119.59,47.7,50,0,8.88,clear sky
53,Villefranche-De-Rouergue,44.33,2.0,51.01,81,0,6.93,clear sky
54,Price,39.6,-110.81,33.8,50,1,4.7,clear sky
55,Norman Wells,65.28,-126.83,5.0,84,75,7.9,broken clouds
56,New Norfolk,-42.78,147.06,60.01,68,92,1.99,overcast clouds
57,Tiksi,71.69,128.87,2.35,93,96,2.91,overcast clouds
58,Lompoc,34.64,-120.46,64.0,42,1,3.36,clear sky
59,Half Moon Bay,37.46,-122.43,61.0,54,1,6.93,clear sky
60,Zhanakorgan,43.91,67.25,27.88,90,0,3.27,clear sky
61,Mnogovershinnyy,53.94,139.92,21.67,96,100,2.46,overcast clouds
62,Faanui,-16.48,-151.75,79.23,76,55,8.81,light rain
63,Hilo,19.73,-155.09,77.0,73,90,6.93,moderate rain
64,Lieksa,63.32,30.02,40.66,92,84,8.7,broken clouds
65,Barrow,71.29,-156.79,12.2,78,90,13.87,overcast clouds
66,Boueni,-12.9,45.08,77.0,88,0,3.36,clear sky
67,Gambo,4.65,22.26,71.26,67,15,2.77,few clouds
68,Avarua,-21.21,-159.78,77.0,83,73,5.82,light rain
69,Saurimo,-9.66,20.39,65.37,94,3,2.42,clear sky
70,Kapaa,22.08,-159.32,78.8,65,40,19.46,light rain
71,Qaanaaq,77.48,-69.36,7.21,78,99,7.0,overcast clouds
