City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hithadhoo,-0.6,73.08,83.32,71,100,2.86,MV,2020-11-06 01:13:05
1,South Venice,27.05,-82.42,79.0,78,1,11.41,US,2020-11-06 01:13:05
2,Port Lincoln,-34.73,135.87,55.51,59,98,8.23,AU,2020-11-06 01:13:05
3,Castro,-24.79,-50.01,54.57,64,0,5.39,BR,2020-11-06 01:10:09
4,Saint-Philippe,-21.36,55.77,69.8,60,39,8.05,RE,2020-11-06 01:13:05
5,Ancud,-41.87,-73.82,52.0,71,75,6.93,CL,2020-11-06 01:13:05
6,Hobart,-42.88,147.33,59.0,50,75,18.34,AU,2020-11-06 01:13:05
7,Huilong,31.81,121.66,72.0,74,5,1.72,CN,2020-11-06 01:13:05
8,Thompson,55.74,-97.86,8.6,84,90,9.17,CA,2020-11-06 01:13:05
9,Vila Franca Do Campo,37.72,-25.43,59.0,72,20,8.05,PT,2020-11-06 01:13:05
10,Dawlatabad,36.41,64.91,42.01,63,46,0.92,AF,2020-11-06 01:13:05
11,Kapaa,22.08,-159.32,82.4,83,40,10.29,US,2020-11-06 01:13:05
12,Skibbereen,51.55,-9.27,44.6,87,40,4.7,IE,2020-11-06 01:13:06
13,Road Town,18.42,-64.62,80.6,69,1,4.7,VG,2020-11-06 01:10:25
14,Lavrentiya,65.58,-171.0,35.64,93,100,23.98,RU,2020-11-06 01:13:06
15,Hasaki,35.73,140.83,53.6,81,75,4.7,JP,2020-11-06 01:13:06
16,Adrar,20.5,-10.07,83.37,17,83,8.01,MR,2020-11-06 01:13:06
17,Vaini,-21.2,-175.2,80.6,69,20,11.41,TO,2020-11-06 01:13:06
18,Dikson,73.51,80.55,-1.19,91,0,4.16,RU,2020-11-06 01:13:06
19,Ponta Do Sol,32.67,-17.1,57.2,67,20,5.82,PT,2020-11-06 01:13:06
20,Coquimbo,-29.95,-71.34,55.4,82,0,10.29,CL,2020-11-06 01:08:22
21,Pokhara,28.23,83.98,58.91,36,0,4.7,NP,2020-11-06 01:13:06
22,Sylvan Lake,52.32,-114.09,42.8,75,90,19.46,CA,2020-11-06 01:13:06
23,Auki,-8.77,160.7,84.4,76,57,3.62,SB,2020-11-06 01:13:07
24,Albany,42.6,-73.97,60.8,48,75,8.05,US,2020-11-06 01:13:07
25,Busselton,-33.65,115.33,64.99,64,0,5.99,AU,2020-11-06 01:12:13
26,Mataura,-46.19,168.86,65.71,36,4,1.54,NZ,2020-11-06 01:13:07
27,Bosaso,11.28,49.18,72.63,56,50,7.16,SO,2020-11-06 01:13:07
28,Yekaterinburg,56.86,60.61,37.4,86,90,6.71,RU,2020-11-06 01:13:07
29,Faya,18.39,42.45,59.0,93,0,5.82,SA,2020-11-06 01:13:07
30,Miri,4.41,114.01,78.8,88,20,5.82,MY,2020-11-06 01:13:07
